Requested report - WIN WAVES
ORGANIZATION ID = 21FLPDEMWBID = 1558F | 1558G | 1558H | 1558I | 1558IAACTIVITY START DATE TIME =  FROM:  01/01/2015 TO:  DEP ANALYTE GROUP = BiologicalDEP ANALYTE NAME - UNIT = Chlorophyll a- uncorrected - ug/L | Chlorophyll a- corrected - ug/L
Report Run on JUNE 13, 2025The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"DEP Latitude"|"DEP Longitude"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLPDEM"|"E1-B-20-07"|"28.004109988"|"-82.67622"|"1558I"|"E1B2071210S"|"Sample"|"11/23/2020 12:10:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.222"|"m"|""|""|""|"8011860"|"Chlorophyll a- corrected"|"6.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-C-20-06"|"27.949849988"|"-82.69623"|"1558H"|"E2C2060952S"|"Sample"|"09/17/2020 09:52:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.202"|"m"|""|""|""|"8009274"|"Chlorophyll a- corrected"|"32.7"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-C-20-06"|"27.910059988"|"-82.65271"|"1558H"|"E3C2061145S"|"Sample"|"09/10/2020 11:45:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.282"|"m"|""|""|""|"8006774"|"Chlorophyll a- uncorrected"|"7.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-B-20-07"|"27.899489988"|"-82.60816"|"1558G"|"E4B2071232S"|"Sample"|"10/14/2020 12:32:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.207"|"m"|""|""|""|"8003597"|"Chlorophyll a- corrected"|"7.7"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-B-20-07"|"28.004109988"|"-82.67622"|"1558I"|"E1B2071210S"|"Sample"|"11/23/2020 12:10:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.222"|"m"|""|""|""|"8007188"|"Chlorophyll a- uncorrected"|"9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-A-20-05"|"27.867509988"|"-82.5849"|"1558F"|"E5A2051121S"|"Sample"|"08/06/2020 11:21:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.207"|"m"|""|""|""|"8012391"|"Chlorophyll a- uncorrected"|"10.2"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-C-20-06"|"27.949849988"|"-82.69623"|"1558H"|"E2C2060952S"|"Sample"|"09/17/2020 09:52:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.202"|"m"|""|""|""|"8009804"|"Chlorophyll a- uncorrected"|"34.4"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-D-20-08"|"27.841339988"|"-82.59101"|"1558F"|"E5D2081131S"|"Sample"|"12/09/2020 11:31:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.25"|"m"|""|""|""|"8004492"|"Chlorophyll a- uncorrected"|"1.9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-B-20-05"|"27.986989988"|"-82.66528"|"1558I"|"E1B2051130S"|"Sample"|"08/05/2020 11:30:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.207"|"m"|""|""|""|"8007574"|"Chlorophyll a- uncorrected"|"19.5"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-D-20-07"|"27.956019988"|"-82.70858"|"1558H"|"E2D2071035S"|"Sample"|"11/23/2020 10:35:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.217"|"m"|""|""|""|"8008219"|"Chlorophyll a- corrected"|"12.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-C-20-06"|"27.910059988"|"-82.65271"|"1558H"|"E3C2061145S"|"Sample"|"09/10/2020 11:45:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.282"|"m"|""|""|""|"8006034"|"Chlorophyll a- corrected"|"6.8"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-A-20-08"|"27.923979988"|"-82.67214"|"1558H"|"E3A2080858S"|"Sample"|"12/10/2020 08:58:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.233"|"m"|""|""|""|"8006528"|"Chlorophyll a- corrected"|"5"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-A-20-07"|"27.855169988"|"-82.57974"|"1558F"|"E5A2071157S"|"Sample"|"10/15/2020 11:57:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.212"|"m"|""|""|""|"8010446"|"Chlorophyll a- corrected"|"7.9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-B-20-08"|"27.888959988"|"-82.61162"|"1558G"|"E4B2081111S"|"Sample"|"12/10/2020 11:11:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.23"|"m"|""|""|""|"8004734"|"Chlorophyll a- corrected"|"2.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-D-20-07"|"27.841869988"|"-82.59369"|"1558F"|"E5D2071221S"|"Sample"|"10/15/2020 12:21:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.223"|"m"|""|""|""|"8012514"|"Chlorophyll a- corrected"|"17"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-A-20-05"|"27.867509988"|"-82.5849"|"1558F"|"E5A2051121S"|"Sample"|"08/06/2020 11:21:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.207"|"m"|""|""|""|"8003604"|"Chlorophyll a- corrected"|"9.4"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-D-20-06"|"27.945479988"|"-82.70642"|"1558H"|"E2D2060928S"|"Sample"|"09/17/2020 09:28:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.203"|"m"|""|""|""|"8007235"|"Chlorophyll a- uncorrected"|"18.7"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-C-20-08"|"27.866329988"|"-82.59004"|"1558F"|"E5C2081232S"|"Sample"|"12/09/2020 12:32:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.247"|"m"|""|""|""|"8007061"|"Chlorophyll a- uncorrected"|"2.5"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-B-20-05"|"27.950239988"|"-82.66342"|"1558H"|"E3B2051306S"|"Sample"|"08/20/2020 13:06:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.193"|"m"|""|""|""|"8010226"|"Chlorophyll a- corrected"|"37.9"|""|"ug/L"|"0.5"|"0.5"|"!"|"Total"|"E54357"|"normal distribution potential outlier; green color, not turbid, seagrass debris, green brown particle filter film, heavy particles"|""
"21FLPDEM"|"E3-A-20-08"|"27.923979988"|"-82.67214"|"1558H"|"E3A2080858S"|"Sample"|"12/10/2020 08:58:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.233"|"m"|""|""|""|"8009814"|"Chlorophyll a- uncorrected"|"5.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-C-20-07"|"27.936409988"|"-82.71987"|"1558H"|"E2C2070920S"|"Sample"|"11/23/2020 09:20:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.21"|"m"|""|""|""|"8005075"|"Chlorophyll a- corrected"|"4.9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-C-20-05"|"27.894149988"|"-82.6022"|"1558G"|"E4C2051110S"|"Sample"|"08/11/2020 11:10:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.213"|"m"|""|""|""|"8006435"|"Chlorophyll a- uncorrected"|"5.4"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-B-20-05"|"27.950239988"|"-82.66342"|"1558H"|"E3B2051306S"|"Sample"|"08/20/2020 13:06:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.193"|"m"|""|""|""|"8003460"|"Chlorophyll a- uncorrected"|"40.1"|""|"ug/L"|"0.5"|"0.5"|"!"|"Total"|"E54357"|"normal distribution potential outlier; green color, not turbid, seagrass debris, green brown particle filter film, heavy particles"|""
"21FLPDEM"|"E2-D-20-06"|"27.945479988"|"-82.70642"|"1558H"|"E2D2060928S"|"Sample"|"09/17/2020 09:28:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.203"|"m"|""|""|""|"8008230"|"Chlorophyll a- corrected"|"17.3"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-B-20-06"|"27.989549988"|"-82.66029"|"1558I"|"E1B2061039S"|"Sample"|"09/17/2020 10:39:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.201"|"m"|""|""|""|"8006579"|"Chlorophyll a- uncorrected"|"11.1"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-D-20-07"|"27.956019988"|"-82.70858"|"1558H"|"E2D2071035S"|"Sample"|"11/23/2020 10:35:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.217"|"m"|""|""|""|"8006178"|"Chlorophyll a- uncorrected"|"14.1"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-C-20-07"|"27.864739988"|"-82.59354"|"1558F"|"E5C2071102S"|"Sample"|"10/15/2020 11:02:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.223"|"m"|""|""|""|"8010107"|"Chlorophyll a- corrected"|"8.7"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-C-20-07"|"28.030939988"|"-82.69072"|"1558IA"|"E1C2071242S"|"Sample"|"11/23/2020 12:42:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.237"|"m"|""|""|""|"8009316"|"Chlorophyll a- corrected"|"14"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-C-20-06"|"27.847269988"|"-82.59339"|"1558F"|"E5C2061044S"|"Sample"|"08/31/2020 10:44:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.252"|"m"|""|""|""|"8009987"|"Chlorophyll a- corrected"|"10.2"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-B-20-07"|"27.899489988"|"-82.60816"|"1558G"|"E4B2071232S"|"Sample"|"10/14/2020 12:32:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.207"|"m"|""|""|""|"8008254"|"Chlorophyll a- uncorrected"|"7.9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-A-20-05"|"27.882369988"|"-82.5856"|"1558G"|"E4A2051002S"|"Sample"|"08/11/2020 10:02:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.215"|"m"|""|""|""|"8006605"|"Chlorophyll a- uncorrected"|"11.7"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-C-20-08"|"27.866329988"|"-82.59004"|"1558F"|"E5C2081232S"|"Sample"|"12/09/2020 12:32:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.247"|"m"|""|""|""|"8004766"|"Chlorophyll a- corrected"|"2.3"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-A-20-08"|"27.858019988"|"-82.59354"|"1558F"|"E5A2081205S"|"Sample"|"12/09/2020 12:05:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.249"|"m"|""|""|""|"8006566"|"Chlorophyll a- uncorrected"|"3.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-A-20-08"|"27.876809988"|"-82.60889"|"1558G"|"E4A2081134S"|"Sample"|"12/10/2020 11:34:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.23"|"m"|""|""|""|"8011315"|"Chlorophyll a- corrected"|"3.1"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-C-20-05"|"27.894149988"|"-82.6022"|"1558G"|"E4C2051110S"|"Sample"|"08/11/2020 11:10:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.213"|"m"|""|""|""|"8011424"|"Chlorophyll a- corrected"|"5.2"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-B-20-06"|"27.989549988"|"-82.66029"|"1558I"|"E1B2061039S"|"Sample"|"09/17/2020 10:39:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.201"|"m"|""|""|""|"8008155"|"Chlorophyll a- corrected"|"8.3"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-C-20-08"|"27.890719988"|"-82.6352"|"1558G"|"E4C2081029S"|"Sample"|"12/10/2020 10:29:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.232"|"m"|""|""|""|"8008510"|"Chlorophyll a- uncorrected"|"6.4"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-A-20-05"|"27.882369988"|"-82.5856"|"1558G"|"E4A2051002S"|"Sample"|"08/11/2020 10:02:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.215"|"m"|""|""|""|"8006460"|"Chlorophyll a- corrected"|"10"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-D-20-08"|"27.841339988"|"-82.59101"|"1558F"|"E5D2081131S"|"Sample"|"12/09/2020 11:31:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.25"|"m"|""|""|""|"8013083"|"Chlorophyll a- corrected"|"1.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-C-20-07"|"28.030939988"|"-82.69072"|"1558IA"|"E1C2071242S"|"Sample"|"11/23/2020 12:42:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.237"|"m"|""|""|""|"8008655"|"Chlorophyll a- uncorrected"|"15.9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-B-20-07"|"27.914499988"|"-82.66898"|"1558H"|"E3B2070930S"|"Sample"|"10/14/2020 09:30:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.225"|"m"|""|""|""|"8005317"|"Chlorophyll a- uncorrected"|"15.3"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-B-20-08"|"27.888959988"|"-82.61162"|"1558G"|"E4B2081111S"|"Sample"|"12/10/2020 11:11:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.23"|"m"|""|""|""|"8012347"|"Chlorophyll a- uncorrected"|"2.8"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-C-20-06"|"27.847269988"|"-82.59339"|"1558F"|"E5C2061044S"|"Sample"|"08/31/2020 10:44:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.252"|"m"|""|""|""|"8009377"|"Chlorophyll a- uncorrected"|"12.2"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-A-20-08"|"27.876809988"|"-82.60889"|"1558G"|"E4A2081134S"|"Sample"|"12/10/2020 11:34:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.23"|"m"|""|""|""|"8010021"|"Chlorophyll a- uncorrected"|"3.4"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-D-20-05"|"28.002609988"|"-82.65639"|"1558I"|"E1D2051152S"|"Sample"|"08/05/2020 11:52:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.203"|"m"|""|""|""|"8004376"|"Chlorophyll a- uncorrected"|"14"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-D-20-07"|"27.841869988"|"-82.59369"|"1558F"|"E5D2071221S"|"Sample"|"10/15/2020 12:21:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.223"|"m"|""|""|""|"8007525"|"Chlorophyll a- uncorrected"|"18.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-D-20-05"|"28.002609988"|"-82.65639"|"1558I"|"E1D2051152S"|"Sample"|"08/05/2020 11:52:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.203"|"m"|""|""|""|"8007167"|"Chlorophyll a- corrected"|"12.7"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-C-20-07"|"27.864739988"|"-82.59354"|"1558F"|"E5C2071102S"|"Sample"|"10/15/2020 11:02:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.223"|"m"|""|""|""|"8009745"|"Chlorophyll a- uncorrected"|"9.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-B-20-01"|"27.869569988"|"-82.59917"|"1558F"|"E5B2011048S"|"Sample"|"01/28/2020 10:48:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.2"|"m"|""|""|""|"6471292"|"Chlorophyll a- uncorrected"|"2.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
